Time_Frame,Grass,Prey,Hunter
0,35,25,15
1,35,25,15
2,35,25,15
3,35,25,15
4,35,25,15
5,35,25,15
6,35,25,15
7,35,25,15
8,35,25,15
9,35,25,15
10,35,25,15
11,35,25,15
12,35,24,16
13,35,24,16
14,35,24,16
15,35,24,16
16,35,24,16
17,35,24,16
18,35,24,16
19,35,24,16
20,35,24,16
21,35,24,16
22,35,24,16
23,35,24,16
24,35,24,16
25,35,24,16
26,34,25,16
27,34,25,16
28,34,25,16
29,34,25,16
30,34,25,16
31,34,25,16
32,34,25,16
33,34,25,16
34,34,25,16
35,34,25,16
36,34,25,16
37,34,25,16
38,34,25,16
39,34,25,16
40,34,25,16
41,34,25,16
42,34,25,16
43,34,25,16
44,34,25,16
45,34,25,16
46,34,25,16
47,34,25,16
48,34,25,16
49,34,25,16
50,34,25,16
51,34,25,16
52,34,25,16
53,34,25,16
54,34,25,16
55,34,25,16
56,34,25,16
57,34,26,16
58,34,26,16
59,34,26,16
60,34,26,16
61,34,25,17
62,33,26,17
63,33,26,17
64,33,26,17
65,33,26,17
66,33,26,17
67,33,26,17
68,33,26,17
69,33,26,17
70,33,26,17
71,33,26,17
72,33,26,17
73,33,26,17
74,33,26,17
75,33,26,17
76,33,26,17
77,33,26,17
78,33,26,17
79,32,27,17
80,32,27,17
81,32,27,17
82,32,27,17
83,32,27,17
84,32,27,17
85,32,27,17
86,32,27,17
87,32,27,17
88,32,27,17
89,32,27,17
90,32,27,17
91,32,27,17
92,32,27,17
93,32,27,17
94,32,27,17
95,32,27,17
96,32,27,17
97,32,27,17
98,32,27,17
99,32,27,17
100,32,27,17
101,31,28,17
102,31,28,17
103,31,28,17
104,31,28,17
105,31,28,17
106,31,28,17
107,31,28,17
108,31,28,17
109,31,28,17
110,31,28,17
111,31,28,17
112,31,28,17
113,31,28,17
114,31,28,17
115,31,28,17
116,31,28,17
117,31,28,17
118,31,28,17
119,31,28,17
120,31,28,17
121,31,28,17
122,31,28,17
123,31,28,17
124,31,28,17
125,31,28,17
126,31,28,17
127,31,28,17
128,31,28,17
129,31,28,17
130,31,28,17
131,31,28,17
132,31,28,17
133,31,28,17
134,31,28,17
135,31,28,17
136,31,28,17
137,31,28,17
138,31,28,17
139,31,29,17
140,31,29,17
141,31,29,17
142,31,29,17
143,31,29,17
144,31,29,17
145,31,29,17
146,31,28,18
147,31,28,18
148,31,28,18
149,31,28,18
150,31,28,18
151,30,29,18
152,30,29,18
153,30,29,18
154,30,29,18
155,30,29,18
156,30,29,18
157,30,29,18
158,30,29,18
159,30,29,18
160,30,29,18
161,30,28,18
162,30,28,18
163,30,28,18
164,30,28,18
165,30,28,18
166,30,28,18
167,30,28,18
168,30,28,18
169,30,28,18
170,30,28,18
171,30,28,17
172,30,28,17
173,30,28,17
174,30,28,17
175,30,28,17
176,30,28,17
177,30,28,17
178,30,28,17
179,30,28,17
180,30,28,17
181,30,29,17
182,30,29,17
183,30,29,17
184,30,29,17
185,30,29,17
186,30,29,16
187,30,29,16
188,30,29,16
189,30,29,16
190,30,29,16
191,30,29,16
192,30,29,16
193,30,29,16
194,30,29,16
195,30,29,16
196,30,29,16
197,30,29,16
198,30,29,16
199,30,29,16
200,30,29,16
201,30,29,16
202,30,29,16
203,30,29,16
204,30,29,16
205,30,29,16
206,30,29,16
207,30,29,16
208,30,28,17
209,30,28,17
210,30,28,17
211,30,28,17
212,30,28,17
213,30,28,17
214,30,28,17
215,30,28,17
216,30,28,17
217,30,28,17
218,30,28,17
219,30,28,17
220,30,28,17
221,30,28,17
222,30,28,17
223,30,28,17
224,30,28,17
225,30,28,17
226,30,28,17
227,30,28,17
228,30,28,17
229,30,28,17
230,30,28,17
231,30,28,17
232,30,28,17
233,30,28,17
234,30,28,17
235,30,28,17
236,30,28,17
237,30,28,17
238,30,28,17
239,30,28,17
240,30,28,17
241,30,29,17
242,30,29,17
243,30,29,17
244,30,29,17
245,30,29,17
246,30,29,17
247,30,29,17
248,30,29,17
249,30,29,17
250,30,29,17
251,30,29,17
252,30,29,17
253,30,29,17
254,30,29,17
255,30,29,17
256,30,29,17
257,30,29,17
258,30,29,17
259,30,29,17
260,30,29,17
261,30,29,17
262,30,29,17
263,30,29,17
264,30,29,17
265,30,29,17
266,30,29,17
267,30,29,17
268,30,29,17
269,30,29,17
270,29,31,17
271,29,31,17
272,29,31,17
273,29,31,17
274,29,31,17
275,29,31,17
276,29,32,17
277,29,32,17
278,29,32,16
279,29,32,16
280,29,32,16
281,29,32,16
282,29,32,16
283,29,32,16
284,29,32,16
285,29,32,16
286,29,32,16
287,29,33,16
288,29,33,16
289,29,33,16
290,29,33,16
291,29,33,16
292,29,33,17
293,29,33,17
294,29,33,17
295,29,33,17
296,29,33,17
297,29,33,17
298,29,33,17
299,29,34,17
300,29,34,17
301,29,34,17
302,29,34,17
303,29,35,17
304,29,35,17
305,29,35,17
306,29,35,17
307,29,35,17
308,29,35,17
309,29,35,17
310,29,35,17
311,29,35,17
312,29,35,17
313,29,35,17
314,29,35,17
315,29,35,17
316,29,35,17
317,29,35,17
318,29,35,17
319,29,35,17
320,29,35,17
321,29,35,17
322,29,35,17
323,29,35,17
324,29,35,17
325,29,35,17
326,29,35,17
327,29,35,17
328,29,35,17
329,29,35,17
330,29,35,17
331,29,35,17
332,29,35,17
333,29,35,17
334,29,35,17
335,29,35,17
336,29,35,17
337,29,35,17
338,29,35,17
339,29,35,17
340,29,35,17
341,29,35,17
342,29,35,17
343,29,35,17
344,29,35,17
345,29,35,17
346,29,35,17
347,29,35,17
348,29,35,17
349,29,35,17
350,29,35,17
351,29,34,18
352,29,34,18
353,29,34,18
354,28,35,18
355,28,34,19
356,28,34,19
357,28,34,19
358,28,34,19
359,28,34,19
360,28,34,19
361,28,34,19
362,28,34,19
363,28,34,19
364,28,34,19
365,28,34,19
366,28,34,19
367,28,34,19
368,28,33,20
369,28,33,20
370,28,33,20
371,28,33,20
372,28,33,20
373,28,32,21
374,28,32,21
375,28,33,21
376,28,33,21
377,28,33,21
378,28,33,21
379,28,33,21
380,28,33,21
381,28,33,21
382,28,33,21
383,28,33,21
384,28,32,22
385,28,32,22
386,28,32,22
387,28,32,22
388,28,32,22
389,28,32,22
390,28,32,22
391,28,32,22
392,28,32,22
393,28,32,22
394,28,32,22
395,28,32,22
396,28,32,22
397,28,32,22
398,28,32,22
399,28,32,22
400,28,33,22
401,28,34,22
402,28,34,22
403,28,34,22
404,28,34,22
405,28,34,21
406,28,34,21
407,28,34,21
408,28,34,21
409,28,34,21
410,28,34,21
411,28,34,20
412,28,34,20
413,28,34,20
414,28,34,20
415,28,34,20
416,28,34,20
417,28,34,20
418,28,34,20
419,28,34,20
420,28,34,20
421,28,34,20
422,28,34,20
423,28,34,20
424,28,34,20
425,28,34,20
426,28,34,20
427,28,34,20
428,28,34,20
429,28,34,20
430,28,34,20
431,28,34,20
432,28,34,20
433,28,34,20
