Experiment2,Peaks2,,,,,,STD_20,standardized,coef,Experiment combined,Peaks combined,,,,,,,STD_combined,coef combined,,Experiment nest,Peaks nest,,,,,,,,std nests,coef nest,,,,Experiment combined,Peaks GENDER,,,,STD_gender,coef gender
27,173,117,64,83,79,61,42.60711991,0.982487226,14.08215344,27,108,122,111,92,141,71,,24.15574466,24.83881199,0.888669879,28,191,147,97,61,63,21,,,62.55131227,9.592124901,,,,27,64,,,,64,1.5625
28,144,130,90,79,77,,30.92733419,1.405137859,16.16692848,28,160,144,103,118,53,5,,58.40348163,10.27336014,-0.868407751,29,126,96,123,255,210,887,,,302.0419949,1.986478735,,,,28,136,3577,,,2433.154434,0.082197824
29,145,198,23,153,,,74.89270102,-0.789629555,5.340974414,29,75,236,166,25,13,,,95.68960236,5.225228109,-1.477380267,30,112,190,105,65,,,,,52.27491432,7.651853767,,,,29,88,51,,,26.1629509,7.644397634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.13027425,,,,,,,,,,
,,,,,,,,,9.235917106,,,,,,,,,,17.4721037,,,,,,,,,,,,,,,,,,,,,,4.222161519
,,,,,,,,,4.932620194,,,,,,,,,,,,,,,,,,,,,86.98099587,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1.78763E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.006392227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
