Experiment combined,Peaks combined
0,83.0,28.0
1,72.0,20.0
2,76.0
3,76.0,58.0
4,79.0,8.0
5,66.0,29.0
6,79.0,27.0
7,82.0,28.0,7.0
8,67.0,13.0
9,75.0,21.0
10,78.0,105.0,884.0
11,58.0
12,56.0,640.0
13,58.0
14,72.0
15,70.0,14.0
16,65.0
17,85.0,32.0
18,73.0
19,68.0,38.0
20,64.0,20.0
21,75.0,32.0
22,56.0
23,60.0,13.0
24,59.0
25,65.0
26,58.0
27,64.0
28,136.0,3577.0
29,88.0,51.0
