0,1,2,3,4,5
4,44,203,721,0,Grass
5,0,117,743,0,Prey
5,1,166,24,0,Prey
5,2,684,438,0,Prey
5,3,344,521,0,Prey
5,4,247,695,0,Prey
5,5,349,311,0,Prey
5,6,27,73,0,Prey
5,7,71,238,0,Prey
5,8,115,58,0,Prey
5,9,490,685,0,Prey
5,10,645,182,0,Prey
5,11,95,382,0,Prey
5,12,507,600,0,Prey
5,13,234,518,0,Prey
5,14,666,52,0,Prey
5,15,414,165,0,Prey
5,16,53,447,0,Prey
5,17,406,733,0,Prey
5,18,211,704,0,Prey
5,19,28,221,0,Prey
5,20,397,328,0,Hunter
5,21,188,443,0,Hunter
5,22,213,531,0,Hunter
5,23,557,526,0,Hunter
5,24,564,541,0,Hunter
5,25,302,517,0,Hunter
5,26,565,281,0,Hunter
5,27,573,306,0,Hunter
5,28,713,664,0,Hunter
5,29,228,8,0,Hunter
5,30,686,584,0,Grass
5,31,186,204,0,Grass
5,32,112,524,0,Grass
5,33,178,72,0,Grass
5,34,341,498,0,Grass
5,35,361,60,0,Grass
5,36,246,214,0,Grass
5,37,138,489,0,Grass
5,38,34,85,0,Grass
5,39,150,525,0,Grass
5,40,638,367,0,Grass
5,41,350,566,0,Grass
5,42,27,718,0,Grass
5,43,286,610,0,Grass
5,44,203,721,0,Grass
6,0,117,744,0,Prey
6,1,166,24,0,Prey
6,2,684,438,0,Prey
6,3,344,521,0,Prey
6,4,246,695,0,Prey
6,5,350,311,0,Prey
6,6,26,73,0,Prey
6,7,72,238,0,Prey
6,8,114,58,0,Prey
6,9,490,684,0,Prey
6,10,645,182,0,Prey
6,11,95,381,0,Prey
6,12,507,599,0,Prey
6,14,666,52,0,Prey
6,15,414,165,0,Prey
6,16,53,447,0,Prey
6,17,407,733,0,Prey
6,18,210,704,0,Prey
6,19,28,221,0,Prey
6,20,398,328,0,Hunter
6,21,187,443,0,Hunter
6,22,214,531,0,Hunter
6,23,556,526,0,Hunter
6,24,563,542,0,Hunter
6,25,303,517,0,Hunter
6,26,565,281,0,Hunter
6,27,573,307,0,Hunter
6,28,712,663,0,Hunter
6,29,227,8,0,Hunter
6,30,686,584,0,Grass
6,31,186,204,0,Grass
6,32,112,524,0,Grass
6,33,178,72,0,Grass
6,34,341,498,0,Grass
6,35,361,60,0,Grass
6,36,246,214,0,Grass
6,37,138,489,0,Grass
6,38,34,85,0,Grass
6,39,150,525,0,Grass
6,40,638,367,0,Grass
6,41,350,566,0,Grass
6,42,27,718,0,Grass
6,43,286,610,0,Grass
6,44,203,721,0,Grass
6,45,214,531,0,Hunter
7,0,118,744,0,Prey
7,1,167,23,0,Prey
7,2,684,437,0,Prey
7,3,344,520,0,Prey
7,4,246,695,0,Prey
7,5,350,311,0,Prey
7,6,26,73,0,Prey
7,7,72,239,0,Prey
7,8,114,58,0,Prey
7,9,489,684,0,Prey
7,10,644,182,0,Prey
7,11,95,381,0,Prey
7,12,506,599,0,Prey
7,14,666,51,0,Prey
7,15,414,166,0,Prey
7,16,52,447,0,Prey
7,17,407,733,0,Prey
7,18,210,704,0,Prey
7,19,28,220,0,Prey
7,20,399,329,0,Hunter
7,21,186,443,0,Hunter
7,22,215,532,0,Hunter
7,23,555,527,0,Hunter
7,24,563,543,0,Hunter
7,25,304,517,0,Hunter
7,26,564,281,0,Hunter
7,27,573,307,0,Hunter
7,28,712,662,0,Hunter
7,29,226,8,0,Hunter
7,30,686,584,0,Grass
7,31,186,204,0,Grass
7,32,112,524,0,Grass
7,33,178,72,0,Grass
7,34,341,498,0,Grass
7,35,361,60,0,Grass
7,36,246,214,0,Grass
7,37,138,489,0,Grass
7,38,34,85,0,Grass
7,39,150,525,0,Grass
7,40,638,367,0,Grass
7,41,350,566,0,Grass
7,42,27,718,0,Grass
7,43,286,610,0,Grass
7,44,203,721,0,Grass
7,45,215,532,0,Hunter
8,0,118,745,0,Prey
8,1,167,23,0,Prey
8,2,684,437,0,Prey
8,3,344,520,0,Prey
8,4,245,695,0,Prey
8,5,351,311,0,Prey
8,6,25,73,0,Prey
8,7,72,239,0,Prey
8,8,113,58,0,Prey
8,9,489,684,0,Prey
8,10,644,182,0,Prey
8,11,96,381,0,Prey
8,12,506,598,0,Prey
8,14,666,51,0,Prey
8,15,413,166,0,Prey
8,16,52,447,0,Prey
8,17,408,733,0,Prey
8,18,209,704,0,Prey
8,19,28,220,0,Prey
8,20,400,329,0,Hunter
8,21,185,443,0,Hunter
8,22,216,532,0,Hunter
8,23,554,527,0,Hunter
8,24,562,543,0,Hunter
8,25,305,517,0,Hunter
8,26,564,280,0,Hunter
8,27,574,308,0,Hunter
8,28,712,661,0,Hunter
8,29,225,8,0,Hunter
8,30,686,584,0,Grass
8,31,186,204,0,Grass
8,32,112,524,0,Grass
8,33,178,72,0,Grass
