Time_Frame,Grass,Prey,Hunter
0,35,40,50
1,35,40,50
2,35,40,50
3,35,40,50
4,35,40,50
5,35,40,50
6,35,40,50
7,35,40,50
8,35,40,50
9,35,40,50
10,35,40,50
11,35,40,50
12,35,40,50
13,35,40,50
14,35,40,50
15,35,40,50
16,35,41,50
17,35,41,50
18,35,41,50
19,34,42,50
20,34,42,50
21,34,42,50
22,34,42,50
23,34,42,50
24,34,42,50
25,34,42,50
26,34,42,50
27,34,42,50
28,34,42,50
29,34,42,50
30,34,42,50
31,34,42,50
32,34,42,50
33,34,42,50
34,34,42,50
35,34,42,50
36,34,42,50
37,34,42,50
38,34,42,50
39,34,42,50
40,34,42,50
41,34,42,50
42,34,42,50
43,34,42,50
44,34,42,50
45,34,42,50
46,34,42,50
47,34,42,50
48,34,42,50
49,34,42,50
50,34,42,50
51,34,42,51
52,34,42,51
53,34,42,51
54,34,42,51
55,34,42,51
56,34,42,51
57,34,42,51
58,34,42,51
59,34,43,52
60,34,43,52
61,34,43,52
62,34,43,52
63,34,43,52
64,34,43,52
65,34,43,52
66,34,43,52
67,34,43,52
68,34,43,52
69,34,43,53
70,34,43,53
71,34,43,53
72,34,43,53
73,34,43,53
74,34,43,53
75,34,43,53
76,34,43,53
77,34,43,53
78,34,43,53
79,34,43,53
80,34,43,53
81,33,44,53
82,33,44,53
83,33,44,53
84,33,44,53
85,33,44,53
86,33,44,53
87,33,44,53
88,33,44,53
89,33,44,53
90,33,44,53
91,33,44,53
92,33,44,54
93,33,44,54
94,33,44,54
95,33,44,54
96,33,44,54
97,33,44,54
98,33,44,54
99,33,44,54
100,33,44,54
101,33,43,54
102,33,43,54
103,33,43,54
104,33,43,54
105,33,43,54
106,33,43,54
107,33,43,54
108,33,43,54
109,33,43,55
110,33,43,55
111,33,43,55
112,33,43,55
113,33,43,55
114,33,43,55
115,33,43,55
116,33,43,55
117,33,43,55
118,33,43,55
119,33,43,55
120,33,43,55
121,33,43,55
122,33,43,55
123,33,43,56
124,33,43,56
125,33,43,56
126,33,43,56
127,33,43,56
128,33,43,56
129,33,43,56
130,33,43,57
131,33,43,57
132,33,43,57
133,33,43,57
134,33,43,57
135,33,43,57
136,33,43,57
137,33,43,57
138,33,43,57
139,33,43,57
140,33,43,57
141,33,43,57
142,32,44,57
143,32,44,57
144,32,44,57
145,32,44,57
146,32,44,57
147,32,44,57
148,32,44,57
149,32,44,57
150,32,44,57
151,32,44,57
152,32,44,57
153,32,44,57
154,32,44,57
155,32,44,57
156,32,44,57
157,32,44,57
158,32,44,57
159,32,44,57
160,32,44,57
161,32,44,57
162,32,44,57
163,32,44,57
164,32,44,57
165,32,44,57
166,32,44,57
167,32,44,57
168,32,44,57
169,32,44,57
170,32,44,57
171,32,44,57
172,32,44,58
173,32,44,58
174,32,44,58
175,32,44,58
176,31,45,58
177,31,45,58
178,31,45,58
179,31,45,58
180,31,45,58
181,31,45,58
182,31,45,59
183,31,45,59
184,31,45,59
185,31,45,59
186,31,45,59
187,31,45,59
188,31,45,59
189,31,45,59
190,31,45,59
191,31,45,59
192,31,45,59
193,31,45,59
194,31,45,59
195,31,45,59
196,31,45,59
197,31,45,59
198,31,45,59
199,31,45,59
200,31,45,59
201,31,45,59
202,31,45,59
203,31,45,59
204,31,45,59
205,31,45,59
206,31,45,59
207,31,45,59
208,31,45,59
209,31,45,59
210,31,45,59
211,31,45,59
212,31,45,59
213,31,45,59
214,31,45,59
215,31,45,59
216,31,45,59
217,31,45,58
218,31,45,58
219,31,45,58
220,31,45,58
221,31,44,58
222,31,44,58
223,31,44,58
224,31,44,58
225,31,44,58
226,31,44,58
227,31,44,58
228,31,44,58
229,31,44,58
230,31,44,58
231,31,44,58
232,31,44,58
233,31,44,58
234,31,44,58
235,31,44,58
236,31,44,58
237,31,44,58
238,31,44,58
239,31,44,58
240,31,44,59
241,31,44,59
242,31,44,59
243,31,44,59
244,31,44,59
245,31,44,59
246,31,44,59
247,31,44,60
248,31,44,60
249,31,44,60
250,31,44,60
251,31,43,60
252,31,43,60
253,31,43,60
254,31,43,58
255,31,43,58
256,31,43,58
257,31,43,58
258,31,43,58
259,31,43,58
260,31,43,59
261,31,43,59
262,31,43,59
263,31,43,59
264,31,43,59
265,31,43,59
266,31,43,59
267,31,43,59
268,31,43,59
269,31,43,59
270,31,43,59
271,31,43,59
272,31,43,59
273,31,43,59
274,31,43,59
275,31,43,59
276,31,43,59
277,31,43,59
278,31,43,59
279,31,43,59
280,31,43,59
281,31,43,59
282,31,43,59
283,31,43,59
284,31,43,59
285,31,43,59
286,31,43,59
287,31,43,59
288,31,43,59
289,31,43,58
290,31,43,58
291,31,43,59
292,31,43,60
293,31,43,60
294,31,43,61
295,31,43,61
296,31,43,61
297,31,43,61
298,31,43,61
299,31,43,61
300,31,43,61
301,31,43,61
302,31,43,61
303,31,43,61
304,31,43,61
305,31,43,61
306,31,43,61
307,31,43,61
308,31,43,61
309,31,43,61
310,30,44,61
311,30,44,61
312,30,44,61
313,30,44,61
314,30,44,61
315,30,44,61
