Time_Frame,Grass,Prey,Hunter
0,35,40,50
1,35,40,50
2,35,40,50
3,35,40,50
4,35,40,50
5,35,40,50
6,35,40,50
7,35,41,50
8,35,41,50
9,35,41,50
10,35,41,50
11,35,41,50
12,35,41,50
13,35,41,50
14,35,41,50
15,35,41,50
16,35,41,50
17,35,41,50
18,35,41,50
19,35,41,50
20,35,41,50
21,35,41,50
22,35,41,50
23,35,41,50
24,35,41,50
25,34,42,50
26,34,42,50
27,34,42,50
28,34,42,50
29,34,42,50
30,34,42,50
31,34,42,50
32,34,42,50
33,34,42,50
34,34,42,50
35,33,43,50
36,33,43,50
37,33,43,50
38,33,43,50
39,33,43,50
40,33,43,50
41,33,43,50
42,33,43,50
43,33,43,50
44,33,43,50
45,33,43,50
46,33,43,50
47,33,43,50
48,33,43,50
49,33,43,50
50,33,43,50
51,33,43,50
52,33,43,50
53,33,43,50
54,33,43,51
55,33,43,51
56,33,43,51
57,33,43,51
58,32,44,51
59,32,44,52
60,32,44,52
61,32,44,52
62,32,44,52
63,32,44,52
64,32,45,52
65,32,45,53
66,32,45,53
67,32,45,53
68,32,45,53
69,32,45,53
70,32,45,53
71,32,45,53
72,32,45,53
73,32,45,53
74,32,45,53
75,32,45,53
76,32,45,53
77,32,45,53
78,32,45,53
79,32,45,53
80,32,45,53
81,32,45,53
82,32,45,53
83,32,45,53
84,32,45,53
85,32,45,53
86,32,45,53
87,32,45,53
88,32,45,53
89,32,45,53
90,32,45,53
91,32,45,53
92,31,46,53
93,31,46,53
94,31,46,53
95,31,46,53
96,31,46,53
97,31,46,53
98,31,46,53
99,31,46,53
100,31,46,53
101,31,46,53
102,31,46,53
103,31,46,53
104,31,46,53
105,31,46,53
106,31,46,53
107,31,46,53
108,31,46,53
109,31,46,53
110,31,46,53
111,31,46,53
112,31,46,53
113,31,46,53
114,31,46,53
115,31,46,53
116,31,46,53
117,31,46,53
118,31,46,53
119,31,46,53
120,31,46,53
121,31,46,53
122,31,46,53
123,31,46,53
124,30,47,53
125,30,47,53
126,30,47,53
127,30,47,53
128,30,47,53
129,30,47,53
130,30,47,53
131,30,47,53
132,30,47,53
133,30,47,53
134,30,47,53
135,30,47,53
136,30,47,53
137,30,47,53
138,30,47,53
139,30,48,54
140,30,48,54
141,30,48,54
142,30,48,54
143,30,48,54
144,30,48,54
145,30,48,54
146,30,48,54
147,30,48,54
148,30,48,54
149,30,48,54
150,30,48,54
151,30,48,54
152,30,48,54
153,30,48,54
154,30,48,54
155,30,48,54
156,30,48,54
157,30,48,54
158,30,48,54
159,30,48,54
160,30,48,54
161,30,48,54
162,30,48,54
163,30,48,54
164,30,48,54
165,30,48,54
166,30,48,54
167,30,48,54
168,30,49,54
169,30,49,54
170,30,49,54
171,30,49,54
172,30,49,54
173,30,49,54
174,30,49,54
175,30,49,54
176,30,49,54
177,30,49,54
178,30,49,54
179,30,49,54
180,30,49,54
181,30,49,54
182,30,49,54
183,29,50,54
184,29,50,54
185,29,50,54
186,29,50,54
187,29,50,54
188,29,50,54
189,29,50,54
190,29,50,54
191,29,50,54
192,29,50,54
193,29,50,54
194,29,50,54
195,29,50,54
196,29,50,54
197,29,50,54
198,29,50,54
199,28,51,54
200,28,51,54
201,27,52,54
202,27,52,54
203,27,52,54
204,27,52,54
205,27,52,54
206,27,52,54
207,27,52,54
208,27,52,54
209,27,52,54
210,26,53,54
211,26,53,54
212,26,53,54
213,26,53,54
214,26,53,54
215,26,53,53
216,26,53,53
217,26,53,53
218,26,53,53
219,26,53,53
220,26,53,53
221,26,53,53
222,26,53,53
223,26,53,53
224,26,53,53
225,26,53,54
226,26,53,54
227,26,53,54
228,26,53,54
229,26,53,53
230,26,53,53
231,26,53,53
232,26,53,53
233,26,53,53
234,26,53,53
235,26,53,53
236,26,53,53
237,26,53,53
238,26,53,53
239,26,53,53
240,26,53,54
241,26,53,54
242,26,53,54
243,26,53,54
244,26,53,55
245,26,53,55
246,26,53,54
247,26,53,54
248,26,53,54
249,26,53,54
250,26,53,54
251,26,53,54
252,26,53,54
253,26,53,54
254,26,53,54
255,26,53,54
256,26,53,54
257,26,53,54
258,26,53,55
259,26,54,55
260,26,54,55
261,26,54,55
262,26,54,55
263,26,54,55
264,26,54,55
265,26,54,55
266,26,54,55
267,26,54,55
268,26,54,55
269,26,54,55
270,26,54,55
271,26,54,55
272,26,54,55
273,26,54,55
274,26,54,55
275,26,54,55
276,26,54,56
277,26,53,56
278,26,53,56
279,26,53,56
280,26,53,56
281,26,54,56
282,26,54,56
283,26,54,56
284,26,54,56
285,26,54,56
286,26,55,56
287,26,56,56
288,26,56,56
289,26,56,56
