Time_Frame,Grass,Prey,Hunter
0,35,25,16
1,35,25,16
2,35,25,16
3,35,25,16
4,35,25,16
5,35,25,16
6,35,25,16
7,35,25,16
8,34,26,16
9,34,26,16
10,34,26,16
11,34,26,16
12,34,27,16
13,34,27,16
14,34,27,16
15,34,27,16
16,34,28,16
17,34,28,16
18,34,28,16
19,34,28,16
20,34,28,16
21,34,28,16
22,34,28,16
23,34,28,16
24,34,28,16
25,34,28,16
26,34,28,16
27,34,28,16
28,34,28,16
29,34,28,16
30,34,28,16
31,34,28,16
32,34,27,17
33,34,27,17
34,34,27,17
35,34,27,17
36,34,27,17
37,34,27,17
38,34,27,17
39,34,27,17
40,34,27,17
41,34,27,17
42,34,27,17
43,34,27,17
44,34,27,17
45,34,27,17
46,34,27,17
47,34,27,17
48,34,27,17
49,34,27,17
50,34,27,17
51,34,27,17
52,34,27,17
53,34,27,17
54,34,27,17
55,34,27,17
56,34,27,17
57,34,27,17
58,34,27,17
59,34,27,17
60,34,27,17
61,34,27,17
62,34,27,17
63,34,27,17
64,34,27,17
65,34,28,17
66,34,28,17
67,34,28,17
68,34,28,17
69,34,28,17
70,34,28,17
71,34,28,17
72,34,28,17
73,34,28,17
74,34,27,18
75,34,27,18
76,34,27,18
77,34,27,18
78,34,27,18
79,34,27,18
80,34,28,18
81,34,28,18
82,34,28,18
83,34,27,19
84,34,27,19
85,34,27,19
86,34,27,19
87,34,27,19
88,34,27,19
89,34,27,19
90,34,27,19
91,34,27,19
92,34,27,19
93,34,27,19
94,34,27,19
95,34,27,19
96,34,27,19
97,34,27,19
98,34,27,19
99,34,27,19
100,34,27,19
101,34,27,19
102,34,27,19
103,34,27,19
104,34,27,19
105,34,27,19
106,34,27,19
107,34,27,19
108,34,27,19
109,34,27,19
110,34,27,19
111,34,27,19
112,34,27,19
113,34,27,19
114,33,28,19
115,33,28,19
116,33,29,19
117,33,29,19
118,33,29,19
119,33,29,19
120,33,29,19
121,33,29,19
122,33,29,19
123,33,29,19
124,33,29,19
125,33,29,19
126,33,30,19
127,33,30,19
128,33,30,19
129,33,30,19
130,33,30,19
131,33,30,19
132,33,30,19
133,33,30,19
134,33,30,19
135,33,30,19
136,33,30,19
137,33,31,19
138,33,31,19
139,33,31,19
140,33,31,19
141,33,31,19
142,33,31,19
143,33,31,19
144,33,31,19
145,33,31,19
146,33,31,19
147,33,31,19
148,33,31,19
149,33,31,19
150,33,31,19
151,33,31,19
152,33,31,19
153,33,31,19
154,33,31,19
155,33,31,19
156,33,31,19
157,33,31,19
158,33,31,19
159,33,31,19
160,33,31,19
161,33,31,19
162,33,31,19
163,33,31,19
164,33,31,19
165,33,31,19
166,33,31,19
167,33,31,19
168,33,31,19
169,33,31,19
170,33,31,19
171,33,31,19
172,33,31,19
173,33,31,19
174,33,31,19
175,33,31,19
176,33,31,19
177,33,31,19
178,33,31,19
179,33,31,19
180,33,31,19
181,33,31,19
182,33,31,19
183,33,29,21
184,33,28,22
185,33,28,22
186,33,28,22
187,33,28,22
188,33,28,22
189,33,28,22
190,33,28,22
191,33,28,22
192,33,28,22
193,33,28,22
194,33,28,22
195,33,28,22
196,33,28,22
197,33,28,22
198,33,28,22
199,33,28,22
200,33,28,22
201,33,28,23
202,33,28,23
203,33,28,23
204,33,28,23
205,33,28,23
206,33,28,23
207,33,28,23
208,33,28,23
209,33,28,23
210,33,28,23
211,33,28,23
212,33,28,23
213,33,28,23
214,33,28,23
215,33,28,23
216,33,28,23
217,33,28,23
218,33,28,23
219,33,28,23
220,33,28,23
221,33,28,23
222,33,28,23
223,33,28,23
224,33,28,23
225,33,28,23
226,33,29,23
227,33,29,23
228,33,29,23
229,33,29,23
230,33,29,25
231,33,29,25
232,33,29,25
233,33,29,25
234,33,29,25
235,33,29,25
236,33,29,25
237,33,29,25
238,33,29,25
239,33,29,25
240,33,29,25
241,33,29,25
242,33,29,25
243,33,29,25
244,33,29,25
245,33,29,25
246,33,29,25
247,33,29,25
248,33,29,25
249,33,29,25
250,33,29,25
251,33,29,25
252,33,29,25
253,33,29,25
254,33,29,25
255,33,29,25
256,33,29,25
257,33,29,25
258,33,29,25
259,33,29,25
