Time_Frame,Grass,Prey,Hunter
0,35,25,16
1,35,26,16
2,35,26,16
3,35,26,16
4,35,26,16
5,35,26,16
6,35,26,16
7,35,26,16
8,35,26,16
9,35,26,16
10,35,26,16
11,35,26,16
12,35,26,16
13,35,26,16
14,34,27,16
15,34,27,16
16,34,27,16
17,34,27,16
18,34,27,16
19,34,27,16
20,34,27,16
21,34,27,16
22,34,27,16
23,34,28,16
24,34,28,16
25,34,29,16
26,34,29,16
27,34,29,16
28,34,29,16
29,34,29,16
30,34,29,16
31,34,29,16
32,34,29,16
33,34,29,16
34,34,29,16
35,34,29,16
36,34,29,16
37,34,29,16
38,34,29,16
39,34,29,16
40,34,29,16
41,34,29,16
42,34,29,16
43,34,29,16
44,34,29,16
45,34,29,16
46,34,29,16
47,34,29,16
48,34,29,16
49,34,29,16
50,34,29,16
51,34,28,17
52,34,28,17
53,34,28,17
54,34,28,17
55,34,28,17
56,34,28,17
57,34,28,17
58,34,28,17
59,34,28,17
60,34,28,17
61,34,28,17
62,34,27,18
63,34,27,18
64,34,27,18
65,34,27,18
66,34,27,18
67,33,28,18
68,33,28,18
69,33,28,18
70,33,28,18
71,33,28,18
72,33,28,18
73,33,28,18
74,33,28,18
75,33,28,18
76,33,28,18
77,33,28,18
78,33,28,18
79,33,28,18
80,33,28,18
81,33,28,18
82,33,28,18
83,33,28,18
84,33,28,18
85,33,28,18
86,33,28,18
87,33,28,18
88,33,28,18
89,33,28,18
90,33,28,18
91,33,28,18
92,33,28,18
93,33,28,18
94,33,28,18
95,33,28,18
96,33,28,18
97,33,28,18
98,33,28,18
99,33,28,18
100,33,28,18
101,33,28,18
102,33,28,18
103,33,28,18
104,33,28,18
105,33,28,18
106,33,28,18
107,33,28,18
108,33,28,18
109,33,28,18
110,33,28,18
111,33,28,18
112,33,28,18
113,33,28,18
114,33,28,18
115,33,28,18
116,33,28,18
117,33,28,18
118,33,28,18
119,33,28,18
120,33,28,18
121,33,28,18
122,33,28,18
123,33,28,18
124,33,28,18
125,33,28,18
126,33,28,18
127,33,28,18
128,33,28,18
129,33,28,18
130,33,28,18
131,32,29,18
132,32,29,18
133,32,30,18
134,32,30,18
135,32,30,18
136,32,30,18
137,32,30,18
138,32,29,19
139,32,29,19
140,32,29,19
141,32,29,19
142,32,29,19
143,32,29,19
144,32,29,19
145,32,29,19
146,32,29,19
147,32,29,19
148,32,29,19
149,32,29,19
150,32,29,19
151,32,29,19
152,32,29,19
153,32,29,19
154,32,29,19
155,32,29,19
156,32,29,19
157,32,30,19
158,32,30,19
159,32,30,19
160,32,30,19
161,32,30,19
162,32,30,19
163,32,30,19
164,32,30,19
165,32,30,19
166,32,31,19
167,32,31,19
168,32,32,19
169,32,32,19
170,32,32,19
171,32,32,19
172,32,32,19
173,32,32,19
174,32,33,19
175,32,33,19
176,32,33,19
177,32,33,19
178,32,33,19
179,32,33,19
180,32,33,19
181,32,34,19
182,32,34,19
183,32,34,19
184,32,34,19
185,32,34,19
186,32,34,19
187,32,34,19
188,32,34,19
189,32,34,19
190,32,34,19
191,32,34,19
192,32,35,19
193,32,35,19
194,32,35,19
195,32,35,19
196,32,35,19
197,32,35,19
198,32,35,19
199,32,35,19
200,32,35,19
201,32,35,19
202,32,35,19
203,32,35,19
204,32,35,19
205,32,35,19
206,32,35,19
207,32,35,19
208,32,35,19
209,32,35,19
210,32,35,19
211,32,35,19
212,32,35,19
213,32,35,19
214,32,35,19
215,32,35,19
216,32,35,19
217,32,35,19
218,32,35,19
219,32,34,20
220,32,34,20
221,32,34,20
222,32,34,20
223,32,34,20
224,31,35,20
225,31,35,20
226,31,35,20
227,31,36,20
228,31,36,20
229,31,36,20
230,31,36,20
231,31,36,20
232,31,36,20
233,31,36,20
234,30,37,20
235,30,38,20
236,30,38,20
237,30,38,20
238,30,38,20
239,30,38,20
240,30,38,20
241,30,38,20
242,30,38,20
243,30,38,20
244,30,38,20
245,30,38,20
246,30,38,20
247,30,38,20
248,30,38,20
249,29,40,20
250,29,40,20
251,29,40,20
252,29,40,20
253,29,40,20
254,29,40,20
255,29,40,20
256,29,40,20
257,29,40,20
258,29,40,20
259,29,40,20
260,29,40,20
261,29,40,20
262,29,40,20
263,29,40,20
264,29,40,20
265,29,39,21
266,29,39,21
267,29,39,21
268,29,39,21
269,29,39,21
270,29,39,21
271,29,39,21
272,29,39,21
273,29,39,21
274,29,39,21
275,29,39,21
276,29,39,21
277,29,39,21
278,29,39,21
279,29,38,22
280,29,38,22
281,29,38,22
282,29,38,22
283,29,38,22
284,29,38,22
285,29,38,22
286,29,38,22
287,29,38,22
288,29,38,22
289,29,38,22
290,29,38,22
291,29,38,22
292,29,38,22
293,29,38,22
294,29,38,22
295,29,38,22
296,29,38,22
297,29,38,22
298,29,38,22
299,29,38,22
300,29,38,22
301,29,38,22
302,29,38,22
303,29,38,22
304,29,38,22
305,29,38,22
306,29,38,22
307,29,38,22
308,29,38,22
309,29,38,22
310,29,38,22
311,29,38,22
312,29,38,22
313,29,38,22
314,29,38,22
315,29,38,22
316,29,38,22
317,29,38,22
318,29,38,22
319,29,38,22
320,29,38,22
321,29,38,22
322,29,38,22
323,29,38,22
