Time_Frame,Grass,Prey,Hunter
0,12,25,10
1,11,26,10
2,11,26,10
3,11,26,10
4,11,26,10
5,11,26,10
6,11,26,10
7,11,26,10
8,11,26,10
9,11,26,10
10,11,26,10
11,11,26,10
12,11,26,10
13,11,26,10
14,11,26,10
15,11,26,10
16,11,26,10
17,11,26,10
18,11,26,10
19,11,26,10
20,11,26,10
21,11,26,10
22,11,26,10
23,11,26,10
24,11,26,10
25,11,26,10
26,11,26,10
27,11,26,10
28,11,26,10
29,11,26,10
30,11,26,10
31,11,26,10
32,11,26,10
33,11,26,10
34,11,26,10
35,11,26,10
36,11,26,10
37,11,26,10
38,11,26,10
39,11,26,10
40,11,26,10
41,11,26,10
42,11,26,10
43,11,26,10
44,11,26,10
45,11,26,10
46,11,26,10
47,11,27,10
48,11,27,10
49,11,27,10
50,11,27,10
51,11,27,10
52,11,27,10
53,11,27,10
54,11,27,10
55,11,27,10
56,11,27,10
57,11,27,10
58,11,27,10
59,11,27,10
60,11,27,10
61,11,27,10
62,11,27,10
63,11,27,10
64,11,27,10
65,11,27,10
66,11,27,10
67,11,27,10
68,11,27,10
69,11,27,10
70,11,27,10
71,11,27,10
72,11,27,10
73,11,27,10
74,11,27,10
75,11,27,10
76,11,27,10
77,11,27,10
78,11,27,10
79,11,27,10
80,11,27,10
81,11,27,10
82,11,27,10
83,11,27,10
84,11,28,10
85,11,28,10
86,11,28,10
87,11,28,10
88,11,28,10
89,11,28,10
90,11,28,10
91,11,28,10
92,11,28,10
93,11,28,10
94,11,28,10
95,11,28,10
96,11,28,10
97,11,28,10
98,11,28,10
99,11,28,10
100,11,28,10
101,11,28,10
102,11,28,10
103,11,28,10
104,11,28,10
105,11,28,10
106,11,28,10
107,11,28,10
108,11,28,10
109,11,28,10
110,11,28,10
111,11,28,10
112,11,28,10
113,11,28,10
114,11,28,10
115,11,28,10
116,11,28,10
117,11,29,10
118,11,29,10
119,11,29,10
120,11,29,10
121,11,29,10
122,11,29,10
123,11,29,10
124,11,29,10
125,11,29,10
126,11,29,10
127,11,29,10
128,11,30,10
129,11,30,10
130,11,30,10
131,11,30,10
132,11,30,10
133,11,30,10
134,11,30,10
135,11,30,10
136,11,30,10
137,11,30,10
138,11,30,10
139,11,30,10
140,11,30,10
141,11,30,10
142,11,30,10
143,11,30,10
144,11,30,10
145,11,30,10
146,11,30,10
147,11,30,10
148,11,30,10
149,11,30,10
150,11,30,10
151,11,30,10
152,11,30,10
153,11,30,10
154,11,30,10
155,11,30,10
156,11,30,10
157,11,30,10
158,11,29,11
159,11,29,11
