Time_Frame,Grass,Prey,Hunter
0,17,20,10
1,17,20,10
2,17,20,10
3,17,20,10
4,17,20,10
5,17,20,10
6,17,20,10
7,17,20,10
8,17,20,10
9,17,20,10
10,17,20,10
11,17,20,10
12,17,20,10
13,17,20,10
14,17,20,10
15,17,20,10
16,17,20,10
17,17,20,10
18,17,20,10
19,17,20,10
20,17,20,10
21,17,20,10
22,17,20,10
23,17,20,10
24,17,20,10
25,17,20,10
26,17,20,10
27,17,20,10
28,17,20,10
29,17,20,10
30,17,20,10
31,17,20,10
32,17,20,10
33,17,21,10
34,17,21,10
35,17,21,10
36,17,21,10
37,17,21,10
38,17,21,10
39,17,21,10
40,17,21,10
41,17,21,10
42,17,21,10
43,17,21,10
44,17,21,10
45,17,21,10
46,17,21,10
47,17,21,10
48,17,21,10
49,17,21,10
50,17,21,10
51,17,21,10
52,17,21,10
53,17,21,10
54,17,21,10
55,17,21,10
56,17,21,10
57,17,21,10
58,17,21,10
59,17,21,10
60,17,21,10
61,17,21,10
62,17,21,10
63,17,21,10
64,17,21,10
65,17,21,10
66,17,21,10
67,17,21,10
68,17,21,10
69,17,21,10
70,17,21,10
71,17,21,10
72,17,21,10
73,17,21,10
74,17,21,10
75,17,21,10
76,17,21,10
77,17,21,10
78,17,21,10
79,17,21,10
80,17,21,10
81,17,21,10
82,17,21,10
83,17,21,10
84,17,21,10
85,17,21,10
86,17,21,10
87,17,21,10
88,17,21,10
89,17,21,10
90,17,21,10
91,17,21,10
92,17,21,10
93,17,21,10
94,17,21,10
95,17,21,10
96,17,21,10
97,17,21,10
98,17,21,10
99,17,21,10
100,17,21,10
101,17,21,10
102,17,21,10
103,17,21,10
104,17,21,10
105,17,21,10
106,17,20,11
107,17,20,11
108,17,20,11
109,17,20,11
110,17,20,11
111,17,20,11
112,17,20,11
113,17,20,11
114,17,20,11
115,17,20,11
116,17,20,11
117,17,20,11
118,17,20,11
119,17,20,11
120,17,20,11
121,17,20,11
122,17,20,11
123,17,20,11
124,17,20,11
125,17,20,11
126,17,20,11
127,17,20,11
128,17,20,11
129,17,20,11
130,17,20,11
131,17,20,11
132,17,20,11
133,17,20,11
134,17,20,11
135,17,20,11
136,17,20,11
137,17,20,11
138,17,20,11
139,17,20,11
140,17,20,11
141,17,20,11
142,17,20,11
143,17,20,11
144,17,20,11
145,17,20,11
146,17,20,11
147,17,20,11
148,17,20,11
149,17,20,11
150,17,20,11
151,17,20,11
152,17,20,11
153,17,20,11
154,17,20,11
155,17,20,11
156,17,20,11
157,17,20,11
158,17,20,11
159,17,20,11
160,17,19,13
161,17,20,13
162,17,20,13
163,17,20,12
164,17,20,12
165,17,20,12
166,17,20,11
167,17,20,11
168,17,20,11
169,17,20,11
170,17,20,11
171,17,20,11
172,17,20,11
173,17,20,11
174,17,20,11
175,17,20,11
176,17,20,11
177,17,20,11
178,17,20,11
179,17,20,11
180,17,20,11
181,17,20,11
182,17,20,11
183,17,20,11
184,17,20,11
185,17,20,11
186,17,20,11
187,17,20,11
188,17,20,11
189,17,20,11
190,17,20,11
191,17,20,11
192,17,20,11
193,17,20,11
194,17,20,11
195,17,20,11
196,17,20,11
197,17,20,11
198,17,21,11
199,17,21,11
200,17,21,11
201,17,21,11
202,17,21,11
203,17,21,11
204,17,21,11
205,17,21,11
206,17,21,11
207,17,21,11
208,17,21,11
209,17,21,11
210,17,21,11
211,17,21,11
212,17,21,11
213,17,21,11
214,17,21,11
215,16,22,11
216,16,22,11
217,16,22,11
218,16,22,11
219,16,22,11
220,16,22,11
221,16,22,11
222,16,22,11
223,16,22,11
224,16,22,11
225,16,22,11
226,16,22,11
227,16,22,11
228,16,22,11
229,16,22,11
230,16,22,11
231,16,22,11
232,16,22,11
233,16,22,11
234,16,22,11
235,16,22,11
236,16,22,11
237,16,22,11
238,16,22,11
239,16,22,11
240,16,22,11
241,16,22,11
242,16,22,11
243,16,22,11
244,16,22,11
245,16,22,11
246,16,22,11
247,16,22,11
248,16,22,11
249,16,22,11
250,16,22,11
251,16,22,11
252,16,22,11
253,16,22,11
254,16,22,11
255,16,22,11
256,16,22,11
257,16,22,11
258,16,22,11
259,16,22,11
260,16,22,11
261,16,22,11
262,16,22,11
263,16,22,11
264,16,22,11
265,16,22,11
266,16,22,11
267,16,22,11
268,16,22,11
269,16,22,11
270,16,22,11
271,16,22,11
272,16,22,11
273,16,21,12
274,16,21,12
275,16,21,12
276,16,21,12
277,16,21,12
278,16,21,12
279,16,21,12
