0,5,count
127,Prey,14
128,Grass,10
128,Hunter,10
128,Prey,15
129,Grass,10
129,Hunter,10
129,Prey,15
130,Grass,10
130,Hunter,10
130,Prey,15
131,Grass,10
131,Hunter,10
131,Prey,15
132,Grass,10
132,Hunter,10
132,Prey,15
133,Grass,10
133,Hunter,10
133,Prey,15
134,Grass,10
134,Hunter,10
134,Prey,15
135,Grass,10
135,Hunter,10
135,Prey,15
136,Grass,10
136,Hunter,10
136,Prey,15
137,Grass,10
137,Hunter,10
137,Prey,15
138,Grass,10
138,Hunter,10
138,Prey,15
139,Grass,10
139,Hunter,10
139,Prey,15
140,Grass,10
140,Hunter,10
140,Prey,15
141,Grass,10
141,Hunter,10
141,Prey,15
142,Grass,10
142,Hunter,10
142,Prey,15
143,Grass,10
143,Hunter,10
143,Prey,15
144,Grass,10
144,Hunter,10
144,Prey,15
145,Grass,10
145,Hunter,10
145,Prey,15
146,Grass,10
146,Hunter,10
146,Prey,15
147,Grass,10
147,Hunter,10
147,Prey,15
148,Grass,10
148,Hunter,10
148,Prey,15
149,Grass,10
149,Hunter,10
149,Prey,15
150,Grass,10
150,Hunter,10
150,Prey,15
151,Grass,10
151,Hunter,10
151,Prey,15
152,Grass,10
152,Hunter,10
152,Prey,15
153,Grass,10
153,Hunter,10
153,Prey,15
154,Grass,10
154,Hunter,10
154,Prey,15
155,Grass,10
155,Hunter,10
155,Prey,15
156,Grass,10
156,Hunter,10
156,Prey,15
157,Grass,10
157,Hunter,10
157,Prey,15
158,Grass,10
158,Hunter,10
158,Prey,15
159,Grass,10
159,Hunter,10
159,Prey,15
160,Grass,10
160,Hunter,10
160,Prey,15
161,Grass,10
161,Hunter,10
161,Prey,15
162,Grass,10
162,Hunter,10
162,Prey,15
163,Grass,10
163,Hunter,10
163,Prey,15
164,Grass,10
164,Hunter,10
164,Prey,15
165,Grass,10
165,Hunter,10
165,Prey,15
166,Grass,10
166,Hunter,10
166,Prey,15
167,Grass,10
167,Hunter,10
167,Prey,15
168,Grass,10
168,Hunter,10
168,Prey,15
169,Grass,10
169,Hunter,10
169,Prey,15
170,Grass,10
170,Hunter,10
170,Prey,15
171,Grass,10
171,Hunter,10
171,Prey,15
172,Grass,10
172,Hunter,10
172,Prey,15
173,Grass,10
173,Hunter,10
173,Prey,15
