Time_Frame,Grass,Prey,Hunter
0,12,25,10
1,12,25,10
2,12,25,10
3,12,25,10
4,12,25,10
5,12,25,10
6,12,25,10
7,12,25,10
8,12,25,10
9,12,25,10
10,12,25,10
11,12,25,10
12,12,25,10
13,12,25,10
14,12,25,10
15,12,25,10
16,12,25,10
17,12,25,10
18,12,25,10
19,12,25,10
20,12,25,10
21,12,25,10
22,12,26,10
23,12,26,10
24,12,26,10
25,12,26,10
26,12,26,10
27,12,26,10
28,12,26,10
29,12,26,10
30,12,26,10
31,12,26,10
32,12,26,10
33,12,26,10
34,12,26,10
35,12,26,10
36,12,26,10
37,12,26,10
38,12,26,10
39,12,26,10
40,12,26,10
41,12,26,10
42,12,26,10
43,12,26,10
44,12,26,10
45,12,26,10
46,12,26,10
47,12,26,10
48,12,26,10
49,12,26,10
50,12,26,10
51,12,26,10
52,12,26,10
53,12,26,10
54,12,26,10
55,12,26,10
56,12,26,10
57,12,26,10
58,12,26,10
59,12,26,10
60,12,26,10
61,12,26,10
62,12,26,10
63,12,26,10
64,12,26,10
65,12,26,10
66,12,26,10
67,12,26,10
68,12,26,10
69,12,26,10
70,12,26,10
71,12,26,10
72,12,26,10
73,12,26,10
74,12,26,10
75,12,27,10
76,12,27,10
77,12,27,10
78,12,27,10
79,12,27,10
80,12,27,10
81,12,27,10
82,12,27,10
83,12,27,10
84,12,27,10
85,12,27,10
86,12,27,10
87,12,27,10
88,12,27,10
89,12,27,10
90,12,27,10
91,12,27,10
92,12,27,10
93,12,27,10
94,12,27,10
95,12,27,10
96,12,27,10
97,12,27,10
98,12,27,10
99,12,27,10
100,12,27,10
101,12,27,10
102,12,27,10
103,12,27,10
104,12,27,10
105,12,27,10
106,12,27,10
107,12,27,10
108,12,27,10
109,12,27,10
110,12,27,10
111,12,27,10
112,12,27,10
113,12,27,10
114,12,27,10
115,12,27,10
116,12,27,10
117,12,26,11
118,12,26,11
119,12,26,11
120,12,26,11
121,12,26,11
122,12,26,11
123,12,26,11
124,12,26,11
125,12,26,11
126,12,26,11
127,12,26,11
128,12,26,11
129,12,26,11
130,12,26,11
131,12,26,11
132,12,26,11
133,12,26,11
134,12,26,11
135,12,26,11
136,12,26,11
137,12,26,11
138,12,26,11
139,12,26,11
140,12,26,11
141,12,26,11
142,12,26,11
143,12,26,11
144,12,26,11
145,12,26,11
146,12,26,11
147,12,27,11
148,12,27,11
149,12,27,11
150,12,27,11
151,12,27,11
152,12,27,11
153,12,27,11
154,12,27,11
155,12,27,11
156,12,27,11
157,12,27,11
158,12,27,11
159,12,27,11
160,12,27,11
161,12,27,11
162,12,27,11
163,12,27,11
164,12,28,11
165,12,28,11
166,12,28,11
167,12,28,11
168,12,28,11
169,12,28,11
170,12,28,11
171,12,28,11
172,12,28,11
173,12,29,11
174,12,29,11
175,12,29,11
176,12,29,11
177,12,29,11
178,12,29,11
179,12,29,11
180,12,29,11
181,12,29,11
182,12,29,11
183,12,29,11
184,12,28,13
185,12,28,13
186,12,28,13
187,12,28,13
188,12,28,13
189,12,28,13
190,12,28,13
191,12,28,13
192,12,29,13
193,12,29,13
194,12,29,13
195,12,29,13
196,12,29,13
197,12,29,13
198,12,29,13
199,12,29,13
200,12,29,13
201,12,29,13
202,12,29,13
203,12,29,13
204,12,29,13
205,12,29,13
206,12,29,13
207,12,29,13
208,12,29,13
209,12,29,13
210,12,29,13
211,12,29,13
212,12,29,13
213,12,29,13
214,12,29,13
215,12,29,13
216,12,29,13
217,12,29,13
218,12,29,13
219,12,29,13
220,12,29,13
221,12,29,13
222,12,29,13
223,12,29,13
224,12,29,13
225,12,29,13
226,12,29,13
227,12,30,13
228,12,30,13
229,12,30,13
230,12,30,13
231,12,30,13
232,12,30,13
233,12,30,13
234,12,30,13
